:START_ID(Business),:END_ID(Category)
guvNNiQurBpsjTxi96zaOw,109
guvNNiQurBpsjTxi96zaOw,146
guvNNiQurBpsjTxi96zaOw,154
guvNNiQurBpsjTxi96zaOw,60
guvNNiQurBpsjTxi96zaOw,98
guvNNiQurBpsjTxi96zaOw,119
NZ4BGhQBVw_9MSuTqG4YRQ,6
NZ4BGhQBVw_9MSuTqG4YRQ,162
NZ4BGhQBVw_9MSuTqG4YRQ,109
l4vVMOJkNSM9MaOBQ2Le5A,119
l4vVMOJkNSM9MaOBQ2Le5A,109
CCnuyfb1nd-doEpkj0OoHg,98
CCnuyfb1nd-doEpkj0OoHg,150
CCnuyfb1nd-doEpkj0OoHg,109
CCnuyfb1nd-doEpkj0OoHg,119
CCnuyfb1nd-doEpkj0OoHg,6
-dSJmP8UtK8X3K5QWgtW8w,109
-dSJmP8UtK8X3K5QWgtW8w,2
ndrcxVKd-z_M-GiG5w8kYA,109
ndrcxVKd-z_M-GiG5w8kYA,34
gtlEuByPIBW1HLA89D22mw,72
gtlEuByPIBW1HLA89D22mw,25
gtlEuByPIBW1HLA89D22mw,98
gtlEuByPIBW1HLA89D22mw,109
gtlEuByPIBW1HLA89D22mw,184
gtlEuByPIBW1HLA89D22mw,32
gtlEuByPIBW1HLA89D22mw,50
9Ibl-ZcplccEbt6RwGbWmQ,149
9Ibl-ZcplccEbt6RwGbWmQ,107
9Ibl-ZcplccEbt6RwGbWmQ,101
9Ibl-ZcplccEbt6RwGbWmQ,25
9Ibl-ZcplccEbt6RwGbWmQ,109
Vwipam-onjgtzGAUmRdjgg,93
Vwipam-onjgtzGAUmRdjgg,108
Vwipam-onjgtzGAUmRdjgg,53
Vwipam-onjgtzGAUmRdjgg,114
Vwipam-onjgtzGAUmRdjgg,109
ed54mXDm7gXqWUbfKxi4dw,65
ed54mXDm7gXqWUbfKxi4dw,119
ed54mXDm7gXqWUbfKxi4dw,109
O_wuhNjqLiWvRcYfbHw7Ag,143
O_wuhNjqLiWvRcYfbHw7Ag,92
O_wuhNjqLiWvRcYfbHw7Ag,109
02jZC7oX0SbWXVFboNwFGA,154
02jZC7oX0SbWXVFboNwFGA,146
02jZC7oX0SbWXVFboNwFGA,132
02jZC7oX0SbWXVFboNwFGA,98
02jZC7oX0SbWXVFboNwFGA,142
02jZC7oX0SbWXVFboNwFGA,109
_Ap0kXpUPKxt8bcHYjEvpQ,98
_Ap0kXpUPKxt8bcHYjEvpQ,109
_Ap0kXpUPKxt8bcHYjEvpQ,25
_Ap0kXpUPKxt8bcHYjEvpQ,121
smkZq4G1AOm4V6p3id5sww,109
smkZq4G1AOm4V6p3id5sww,121
Elc0nL8VjIKqAMccjArvPw,127
Elc0nL8VjIKqAMccjArvPw,109
PlEnI02D0iKpMt6gS7h_HQ,101
PlEnI02D0iKpMt6gS7h_HQ,149
PlEnI02D0iKpMt6gS7h_HQ,46
PlEnI02D0iKpMt6gS7h_HQ,35
PlEnI02D0iKpMt6gS7h_HQ,179
PlEnI02D0iKpMt6gS7h_HQ,154
PlEnI02D0iKpMt6gS7h_HQ,160
PlEnI02D0iKpMt6gS7h_HQ,109
PlEnI02D0iKpMt6gS7h_HQ,25
PlEnI02D0iKpMt6gS7h_HQ,52
-J0tPzkwPnyulSBE_s863Q,98
-J0tPzkwPnyulSBE_s863Q,25
-J0tPzkwPnyulSBE_s863Q,149
-J0tPzkwPnyulSBE_s863Q,101
-J0tPzkwPnyulSBE_s863Q,184
-J0tPzkwPnyulSBE_s863Q,109
GAGvDs8lW5wkD5Fwt8C3sg,2
GAGvDs8lW5wkD5Fwt8C3sg,135
GAGvDs8lW5wkD5Fwt8C3sg,180
GAGvDs8lW5wkD5Fwt8C3sg,109
LBAFjWx6qIvFkHxRx5ksLg,147
LBAFjWx6qIvFkHxRx5ksLg,2
LBAFjWx6qIvFkHxRx5ksLg,46
LBAFjWx6qIvFkHxRx5ksLg,142
LBAFjWx6qIvFkHxRx5ksLg,109
IxHaNMUt3mRB1qHvFY5qqQ,101
IxHaNMUt3mRB1qHvFY5qqQ,149
IxHaNMUt3mRB1qHvFY5qqQ,195
IxHaNMUt3mRB1qHvFY5qqQ,32
IxHaNMUt3mRB1qHvFY5qqQ,109
IxHaNMUt3mRB1qHvFY5qqQ,166
v5HkVr-QDnOprbmo22weQQ,109
