business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count
guvNNiQurBpsjTxi96zaOw,Domino's Pizza,10396 W Fairview Ave,Boise,ID,83704,43.6201786,-116.311617,2,31
NZ4BGhQBVw_9MSuTqG4YRQ,Ritz Diner,8000 Roosevelt Blvd,Philadelphia,PA,19152,40.0572052,-75.0471055,3,97
l4vVMOJkNSM9MaOBQ2Le5A,Little Caesars Pizza,10683 Big Bend Rd,Riverview,FL,33579,27.7903862,-82.3316879,2.5,16
CCnuyfb1nd-doEpkj0OoHg,Noble Pie Parlor - Downtown,239 W 2nd St,Reno,NV,89501,39.5263186294,-119.8170070699,4,628
-dSJmP8UtK8X3K5QWgtW8w,Corona Village Mexican Restaurant,21 E Fairview Ave,Meridian,ID,83642,43.6188783,-116.3928784,3.5,67
ndrcxVKd-z_M-GiG5w8kYA,C & K Barbecue,4390 Jennings Station Rd,Saint Louis,MO,63121,38.6994258,-90.2713138,3.5,33
gtlEuByPIBW1HLA89D22mw,Rose Cafe & Catering,38426 5th Ave,Zephyrhills,FL,33542,28.2340156,-82.180467,3.5,8
9Ibl-ZcplccEbt6RwGbWmQ,The Century House Restaurant,2790 Bethlehem Pike,Hatfield,PA,19440,40.300487,-75.2881218,3.5,20
Vwipam-onjgtzGAUmRdjgg,china 1,12004 Indian Rocks Rd,Largo,FL,33774,27.8816613,-82.8338739,3,20
ed54mXDm7gXqWUbfKxi4dw,Domino's Pizza,11649 Jasper Avenue,Edmonton,AB,T5K 0M9,53.540734,-113.522714,3,9
O_wuhNjqLiWvRcYfbHw7Ag,Sushi Village,3535 Severn Ave,Metairie,LA,70002,30.013678,-90.158498,3.5,124
02jZC7oX0SbWXVFboNwFGA,Jimmy John's,340 W Dekalb Pike,King of Prussia,PA,19406,40.092678,-75.3721422,3.5,38
_Ap0kXpUPKxt8bcHYjEvpQ,Hot Spot Restaurant,73 Old Dublin Pike,Doylestown,PA,18901,40.3245214,-75.1323732,4.5,34
smkZq4G1AOm4V6p3id5sww,The Hungry Greek,12950 Race Track Rd,Tampa,FL,33626,28.0694857,-82.6338282,4.5,142
Elc0nL8VjIKqAMccjArvPw,Petro's Chili & Chips,1000 Rivergate Pkwy,Goodlettsville,TN,37072,36.3026299,-86.6975705,5,5
PlEnI02D0iKpMt6gS7h_HQ,Sun King Brewing,"7800 Col H Weir Cook Memorial Dr, Concourse B",Indianapolis,IN,46241,39.7148812,-86.2974891,3,22
-J0tPzkwPnyulSBE_s863Q,Bel Mar Bar And Grill,3501 S Manhattan Ave,Tampa,FL,33629,27.9113611,-82.5182322,4.5,81
GAGvDs8lW5wkD5Fwt8C3sg,Don Pancho,6803 N Armenia Ave,Tampa,FL,33604,28.009897,-82.484013,4.5,16
LBAFjWx6qIvFkHxRx5ksLg,QDOBA Mexican Eats,"6905 S Emerson Ave, Ste A",Indianapolis,IN,46237,39.667361,-86.0818253,2.5,54
IxHaNMUt3mRB1qHvFY5qqQ,The Melting Pot,294 Lamp And Lantern Vlg,Chesterfield,MO,63017,38.6247541,-90.516981,3.5,145
v5HkVr-QDnOprbmo22weQQ,Dickey's Barbecue Pit,5250 E 22nd St,Tucson,AZ,85711,32.2066344748,-110.879938954,3.5,25
M7QK0xvLZFd36igjpnvG7A,Jersey Mike's Subs,"10725 N Michigan Rd, Ste A",Zionsville,IN,46077,39.9430725,-86.2370925,3,23
sM25kuQOInBfPrcQBmlLqQ,Pizza Hut,410 St. Albert Trail,St. Albert,AB,T8N 3X6,53.645241,-113.627754,1.5,7
RPszRvgRQR5q7WMGhVNLCA,Wawa,1601 Valley Forge Rd,Lansdale,PA,19446,40.2284697,-75.3142052,3.5,22
l5RR424DtNZg6mDcvrAixw,Lakeview Burgers and Seafood,872 Harrison Ave,New Orleans,LA,70124,30.0039867,-90.1042078,4,110
NRcVU0DW2OGaXrmXpBtLzg,Cafe Nhu Quynh,5520 Whitaker Ave,Philadelphia,PA,19124,40.0355248,-75.1003312,3.5,13
PJjkH_VZeQwxEJvlQ-v7wA,Pho 75,1122 Washington Ave,Philadelphia,PA,19147,39.9372212861,-75.1628434626,4.5,529
f2YXWEafk6m0fiHZjp8Y8w,La Trattoria Italian Restaurant,201 N Madison Ave,Greenwood,IN,46142,39.6178229,-86.1107231,4,130
DyepNaNO65AtZYJwTD51xg,Great Garden,3623 Commercial Dr,Indianapolis,IN,46222,39.8190847,-86.22826,4.5,5
EKBDN90FwKHr6F7_zzSCZA,Cornflower Coffee & Tea,4530 Olive St,St. Louis,MO,63108,38.6485467,-90.2561212,4.5,44
C7ANpBbkQq4ZICSbZiiHlw,Tokyo Sushi Cafe,10500 Ulmerton Rd,Largo,FL,33771,27.8929345,-82.7848052,3,11
6F_pMpmU4WDycwY8B8T9Fg,Italian Bistro of Center City,211 S Broad St,Philadelphia,PA,19107,39.94898,-75.1640456,2.5,40
rhS9NZKPpgL-Xrn6ihtfsA,Waffle House,2340 Elm Hill Pike,Nashville,TN,37214,36.1538421,-86.6860554,3.5,93
cEyPNMvOehbACz_t9p2yNA,Papillon Cafe,254 N Sycamore St,Newtown,PA,18940,40.2352761,-74.9377285,3,11
SoiacX2r2mvHqIh3GgRMUw,Domino's Pizza,9799 W Florissant Ave,Saint Louis,MO,63136,38.744774,-90.279721,1.5,7
Q_L2wD7JrLq-GHVYU1dJfA,The Thirsty Turtle,"1307 Bell Rd, Ste 101",Antioch,TN,37013,36.0471839,-86.6746312,2,112
oF1UsRAffQ5c7cw-1AUvew,Ike's Coffee and Tea,3400 E Speedway Blvd,Tucson,AZ,85707,32.235694,-110.9202552,3.5,58
s5K7M7BBFDbFkvv14XwkgA,Bronze Table,111 S Independence Mall E,Philadelphia,PA,19106,39.9497563,-75.1480623,4,14
P4CSWhe3WKwTNguupAk9oA,Never Never,413 Houston St,Nashville,TN,37203,36.1431585184,-86.7657356626,4,26
h07Yfix2ynwn9fJ3proGXQ,Joey Bs,189 Concord Plz,Saint Louis,MO,63128,38.5235703611,-90.3621459838,3.5,194
TQloD2_k3J67Q1J_picgfw,Wawa,2535 Aramingo Ave,Philadelphia,PA,19125,39.9771998493,-75.1184864286,2.5,43
qppGA9vCUPfw9ngOy_R90w,Cru Cellars - Palma Ceia,2506 S MacDill Ave,Tampa,FL,33629,27.9227533,-82.4934024,4,184
